userID,Movie Recommendation 1,Movie Recommendation 2,Movie Recommendation 3,Movie Recommendation 4,Movie Recommendation 5,Movie Recommendation 6,Movie Recommendation 7,Movie Recommendation 8,Movie Recommendation 9,Movie Recommendation 10
537,Fight Club ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ",Fight Club 
538,Forrest Gump ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
539,Fight Club ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
540,Stargate ,Superman ,Mad Max ,Tron ,Demolition Man ,"Shawshank Redemption, The ",Forrest Gump ,"Silence of the Lambs, The ","Usual Suspects, The ",Schindler's List 
541,Apollo 13 ,Ghost ,Pulp Fiction ,Dangerous Minds ,Get Shorty ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Get Shorty 
542,Life Is Beautiful  ,"Shining, The ","Silence of the Lambs, The ","Usual Suspects, The ",Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance ,"Silence of the Lambs, The "
543,"Shawshank Redemption, The ",Dances with Wolves ,GoldenEye ,Jurassic Park ,Pulp Fiction ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
544,Leaving Las Vegas ,Sense and Sensibility ,Leaving Las Vegas ,"Piano, The ",Jerry Maguire ,Breakfast at Tiffany's ,"Virgin Suicides, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The "
545,As Good as It Gets ,Saving Private Ryan ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode VI - Return of the Jedi ,Die Hard ,Star Wars: Episode V - The Empire Strikes Back ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman 
546,Braveheart ,"Matrix, The ",Pulp Fiction ,Saving Private Ryan ,Star Wars: Episode IV - A New Hope ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Get Shorty 
547,Pulp Fiction ,Amadeus ,Apocalypse Now ,Casablanca ,Fargo ,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting 
548,Fight Club ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,"Shawshank Redemption, The ",Pulp Fiction ,"Silence of the Lambs, The ",Fight Club 
549,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Bullitt ,Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ","Usual Suspects, The ",American Beauty 
550,Fight Club ,L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  ,Pulp Fiction ,"Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
551,Rear Window ,Just Cause ,Saboteur ,True Crime ,Blow Out ,"Usual Suspects, The ",Schindler's List ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  ,American Beauty 
552,Goodfellas ,Monty Python's Life of Brian ,"Silence of the Lambs, The ",Star Wars: Episode IV - A New Hope ,Terminator 2: Judgment Day ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance 
553,American History X ,Forrest Gump ,Seven  ,"Shawshank Redemption, The ",Star Wars: Episode IV - A New Hope ,American History X ,"Green Mile, The ",Dead Man Walking ,"Shawshank Redemption, The ",Forrest Gump 
554,Back to the Future ,Miracle on 34th Street ,"Shawshank Redemption, The ",Toy Story ,"Princess Bride, The ",American History X ,"Godfather: Part II, The ","Green Mile, The ",Casino ,Dead Man Walking 
555,Indiana Jones and the Last Crusade ,2001: A Space Odyssey ,Close Encounters of the Third Kind ,Ghostbusters  ,Labyrinth ,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  ",Commando 
556,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump 
557,Batman ,Natural Born Killers ,Heat ,"Net, The ",Ronin ,Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
558,Forrest Gump ,American Beauty ,Fight Club ,Life Is Beautiful  ,Rain Man ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love 
559,Dances with Wolves ,Quiz Show ,Schindler's List ,Tombstone ,Waterworld ,Full Metal Jacket ,Platoon ,Glory ,"Deer Hunter, The ",Patton 
560,"Shawshank Redemption, The ",Aliens ,"Clockwork Orange, A ",Dances with Wolves ,"Godfather, The ","Godfather, The ","Godfather: Part II, The ",Goodfellas ,Casino ,Dead Man Walking 
561,"Godfather, The ",Monty Python and the Holy Grail ,Aladdin ,Blade Runner ,Dances with Wolves ,"Godfather: Part II, The ","Green Mile, The ",Casino ,Dead Man Walking ,Donnie Brasco 
562,Indiana Jones and the Last Crusade ,Jurassic Park ,Raiders of the Lost Ark  ,Star Wars: Episode IV - A New Hope ,Back to the Future ,Star Wars: Episode VI - Return of the Jedi ,Stargate ,Star Wars: Episode I - The Phantom Menace ,Superman ,Mad Max 
563,"Jungle Book, The ","Lion King, The ",Sleeping Beauty ,101 Dalmatians  ,Breakfast at Tiffany's ,Anastasia ,Fantasia 2000 ,Tarzan ,"Secret of NIMH, The ",Song of the South 
564,Good Will Hunting ,Sixteen Candles ,Casablanca ,American Beauty ,Jerry Maguire ,Sense and Sensibility ,Leaving Las Vegas ,Pulp Fiction ,"Matrix, The ","Silence of the Lambs, The "
565,"Lion King, The ",Crimson Tide ,Jurassic Park ,"Silence of the Lambs, The ",Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance ,"Matrix, The "
566,"Silence of the Lambs, The ",Babe ,Beauty and the Beast ,Seven  ,Henry: Portrait of a Serial Killer ,Cure ,"Last House on the Left, The ",Psycho ,True Romance ,"Matrix, The "
567,One Flew Over the Cuckoo's Nest ,"Shawshank Redemption, The ",Aladdin ,Casablanca ,Fargo ,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
568,"Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The ","Shawshank Redemption, The ","Matrix, The ",Fight Club ,Star Wars: Episode IV - A New Hope 
569,Crimson Tide ,Apollo 13 ,Braveheart ,"Fugitive, The ","Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
570,American History X ,Full Metal Jacket ,Office Space ,Pulp Fiction ,Blade Runner ,Man Bites Dog  ,Freeway ,Get Shorty ,"Lock, Stock & Two Smoking Barrels ","Few Good Men, A "
571,"Exorcist, The ",Aladdin ,"American Werewolf in London, An ",Big ,E.T. the Extra-Terrestrial ,Robin Hood ,Hercules ,Oliver & Company ,"Bug's Life, A ","Jungle Book, The "
572,Blazing Saddles ,Citizen Kane ,Goodfellas ,Planet of the Apes ,"Right Stuff, The ",American History X ,"Green Mile, The ",Casino ,Dead Man Walking ,Donnie Brasco 
573,Fargo ,Ghostbusters  ,"Clockwork Orange, A ",Good Will Hunting ,"Green Mile, The ",Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Get Shorty 
574,Dances with Wolves ,Interview with the Vampire: The Vampire Chronicles ,True Grit ,Lonesome Dove ,Ride the High Country ,Quigley Down Under ,Return to Snowy River  ,"Matrix, The ",Forrest Gump ,Fight Club 
575,Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,"Shawshank Redemption, The ",Forrest Gump ,"Silence of the Lambs, The ",Fight Club ,"Usual Suspects, The "
576,Armageddon ,"Arrival, The ",Screamers ,Predator 2 ,Predator ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
577,Apocalypse Now ,"Good, the Bad and the Ugly, The  ","Matrix, The ","Usual Suspects, The ",American Beauty ,Predator ,eXistenZ ,They Live ,Hangar 18 ,Screamers 
578,"Englishman Who Went Up a Hill But Came Down a Mountain, The ",Mickey Blue Eyes ,"Butcher's Wife, The ",Milk Money ,Blame It on Rio ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,"Silence of the Lambs, The "
579,"Godfather, The ",Apollo 13 ,"Few Good Men, A ",Fight Club ,"Princess Bride, The ",L̩on: The Professional   ,Clear and Present Danger ,"Killer, The  ",Hard-Boiled  ,Bullitt 
580,Office Space ,Donnie Brasco ,Edward Scissorhands ,Natural Born Killers ,"Princess Bride, The ",Big Trouble in Little China ,Romancing the Stone ,Clash of the Titans ,"Three Musketeers, The ","Jewel of the Nile, The "
581,"Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,Casino ,Pulp Fiction ,"Silence of the Lambs, The ","Usual Suspects, The ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back 
582,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump ,"Usual Suspects, The ",Schindler's List 
583,While You Were Sleeping ,Four Weddings and a Funeral ,Pretty Woman ,Dave ,There's Something About Mary ,"Shawshank Redemption, The ","Matrix, The ",Fight Club ,"Usual Suspects, The ",Star Wars: Episode IV - A New Hope 
584,Jumanji ,"NeverEnding Story, The ",Escape to Witch Mountain ,Return to Oz ,Alice in Wonderland ,The Cave of the Golden Rose ,"Shawshank Redemption, The ","Matrix, The ",Fight Club ,"Usual Suspects, The "
585,"Usual Suspects, The ","Godfather: Part II, The ","Shawshank Redemption, The ",Braveheart ,Forrest Gump ,"Godfather: Part II, The ","Green Mile, The ",Dead Man Walking ,"Shawshank Redemption, The ","Matrix, The "
586,Die Hard ,Forrest Gump ,Gattaca ,Life Is Beautiful  ,Train of Life  ,Shakespeare in Love ,"Graduate, The ","American President, The ",Pulp Fiction ,Forrest Gump 
587,Apocalypse Now ,Blade Runner ,"Clockwork Orange, A ",Groundhog Day ,L.A. Confidential ,Boccaccio '70 ,Splash ,"Midsummer Night's Dream, A ",Here Comes Mr. Jordan ,"Bell, Book and Candle "
588,Die Hard ,"French Connection, The ",Ronin ,Dirty Harry ,"Eye for an Eye, An ","Matrix, The ",Fight Club ,Star Wars: Episode IV - A New Hope ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  
589,Braveheart ,"Fugitive, The ",Jurassic Park ,Legends of the Fall ,"Lion King, The ",Saving Private Ryan ,Apocalypse Now ,"Boot, Das  ","Dirty Dozen, The ","Thin Red Line, The "
590,Being John Malkovich ,M*A*S*H  ,Monty Python's And Now for Something Completely Different ,Monty Python's Life of Brian ,"Truman Show, The ","Discreet Charm of the Bourgeoisie, The  ",Milagro Beanfield War ,That Munchhausen ,Luna Papa ,Lesson Faust 
591,Raiders of the Lost Ark  ,Indiana Jones and the Last Crusade ,Yojimbo ,"Ghost and the Darkness, The ","Hidden Fortress, The  ","Touch of Zen, A  ","Shawshank Redemption, The ",Pulp Fiction ,"Silence of the Lambs, The ","Usual Suspects, The "
592,Babe ,Outbreak ,Twister ,"Little Princess, A ","Secret Garden, The ",My Dog Skip ,Old Yeller ,Now and Then ,"Matrix, The ",Fight Club 
593,Back to the Future ,L̩on: The Professional   ,One Flew Over the Cuckoo's Nest ,Pulp Fiction ,Raiders of the Lost Ark  ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Get Shorty 
594,Forrest Gump ,GoldenEye ,Life Is Beautiful  ,Train of Life  ,"Graduate, The ",M*A*S*H  ,Chasing Amy ,"Shawshank Redemption, The ",Pulp Fiction ,Forrest Gump 
595,American Beauty ,"Matrix, The ",Star Wars: Episode IV - A New Hope ,Star Wars: Episode VI - Return of the Jedi ,Babe ,"Terminator, The ",Blade Runner ,Predator ,eXistenZ ,They Live 
596,"Shawshank Redemption, The ",Fargo ,Pulp Fiction ,Saving Private Ryan ,Aladdin ,American History X ,Goodfellas ,Casino ,Dead Man Walking ,Carlito's Way 
597,Being John Malkovich ,Fargo ,Gattaca ,Goodfellas ,Mary Poppins ,Pulp Fiction ,Man Bites Dog  ,Freeway ,Taxi Driver ,"Few Good Men, A "
598,Big Trouble in Little China ,Romancing the Stone ,Clash of the Titans ,"Three Musketeers, The ",Last Action Hero ,"Shawshank Redemption, The ",Pulp Fiction ,"Matrix, The ",Forrest Gump ,Fight Club 
599,Schindler's List ,Dances with Wolves ,Babe ,Butch Cassidy and the Sundance Kid ,Fatal Attraction ,Patton ,Ran ,Schindler's List ,One Flew Over the Cuckoo's Nest ,Dances with Wolves 
600,Caddyshack ,Dances with Wolves ,Dazed and Confused ,Good Will Hunting ,L̩on: The Professional   ,Leaving Las Vegas ,"Piano, The ",William Shakespeare's Romeo + Juliet,Dangerous Liaisons ,"Usual Suspects, The "
601,Pulp Fiction ,"Silence of the Lambs, The ",Fargo ,Man Bites Dog  ,Freeway ,Taxi Driver ,Trainspotting ,Pulp Fiction ,Forrest Gump ,"Silence of the Lambs, The "
602,"Ice Storm, The ","Right Stuff, The ",Children of a Lesser God ,Kramer vs. Kramer ,Wall Street ,"Matrix, The ",Fight Club ,Star Wars: Episode V - The Empire Strikes Back ,Raiders of the Lost Ark  ,American Beauty 
603,Monty Python and the Holy Grail ,Stand by Me ,"Usual Suspects, The ",Airplane! ,As Good as It Gets ,Following ,Murder on the Orient Express ,Frantic ,Switchback ,Sherlock Holmes: Terror by Night 
604,Dances with Wolves ,Carlito's Way ,Crimson Tide ,"Fugitive, The ","Shawshank Redemption, The ","Godfather, The ",American History X ,"Godfather: Part II, The ",Goodfellas ,"Green Mile, The "
605,Ferris Bueller's Day Off ,Fight Club ,Mrs. Doubtfire ,Raiders of the Lost Ark  ,"Sixth Sense, The ",L̩on: The Professional   ,Clear and Present Danger ,Face/Off ,"Killer, The  ",Hard-Boiled  
606,Fargo ,L.A. Confidential ,Blue Velvet ,Citizen Kane ,Ferris Bueller's Day Off ,Man Bites Dog  ,Freeway ,"Lock, Stock & Two Smoking Barrels ",Get Shorty ,"Few Good Men, A "
607,Fight Club ,Aliens ,Forrest Gump ,"Princess Bride, The ",Raiders of the Lost Ark  ,Life Is Beautiful  ,Train of Life  ,Sleepless in Seattle ,As Good as It Gets ,Shakespeare in Love 
608,Heat ,Raiders of the Lost Ark  ,"Princess Bride, The ",Airplane! ,Dead Poets Society ,Yojimbo ,"Hidden Fortress, The  ","Touch of Zen, A  ",Shogun Assassin ,Crippled Avengers   
609,Clear and Present Danger ,Die Hard: With a Vengeance ,Die Hard ,Heat ,Ronin ,"French Connection, The ",Dirty Harry ,"Matrix, The ","Silence of the Lambs, The ",Fight Club 
610,One Flew Over the Cuckoo's Nest ,"South Park: Bigger, Longer and Uncut ",American History X ,Clerks ,"Clockwork Orange, A ",Rain Man ,Dead Poets Society ,Amadeus ,What's Eating Gilbert Grape ,Mr. Holland's Opus 
